Flokkur,Framsóknarflokkurinn,Sjálfstæðisflokkurinn,Frjálslyndi flokkurinn,Borgarahreyfingin,Samfylkingin,Vinstri-grænir,Hreyfingin,Björt framtíð,Dögun,Hægri grænir,Samstaða,Píratar,Lýðræðisvaktin,Húmanistaflokkurinn,Alþýðufylkingin,Landsbyggðarflokkurinn,Regnboginn,Flokkur heimilana,Sturla Jónsson,Annað
06/01/2010,"14,64085183","33,83630477",,"1,463254732","21,42563682","25,14771838",,,,,,,,,,,,,,"3,486233464"
17/02/2010,"13,02791829","34,10860762",,"1,836636419","21,63570891","24,78140216",,,,,,,,,,,,,,"4,609726595"
05/03/2010,"14,99172818","36,23034511",,"2,423997244","19,57416373","21,31110443",,,,,,,,,,,,,,"5,468661299"
12/04/2010,"12,88447938","37,57846966",,"2,184432322","19,43043372","21,29729731",,,,,,,,,,,,,,"6,624887604"
10/05/2010,"12,51361512","29,61516933",,"3,520213969","19,30931364","26,13904737",,,,,,,,,,,,,,"8,902640575"
10/06/2010,"13,97444433","34,71973606",,"1,040430062","20,64105684","18,36989937","3,348819624",,,,,,,,,,,,,"7,905613713"
12/07/2010,"11,54996034","36,27251883",,"2,594160854","19,36362741","17,59195783","3,354283117",,,,,,,,,,,,,"9,273491617"
19/08/2010,"10,73276442","37,20988702",,"2,160679708","16,81454351","19,23059274","4,189146826",,,,,,,,,,,,,"9,662385784"
16/09/2010,"12,15922114","35,14611475",,"1,22217416","18,46572048","22,37425764","4,961301045",,,,,,,,,,,,,"5,671210788"
05/10/2010,"9,539540011","32,95913637",,"4,361205955","12,25118057","15,51777933","9,528058118",,,,,,,,,,,,,"15,84309965"
05/11/2010,"9,914100789","33,87433911",,"2,738579857","18,61792596","15,48401885","8,893758939",,,,,,,,,,,,,"10,47727649"
09/12/2010,"12,68758693","35,67395279",,"1,553733428","18,04592775","14,19125974","6,595023633",,,,,,,,,,,,,"11,25251572"
14/01/2011,"9,562331195","36,31605102",,"1,915306736","19,83681564","18,11831478","6,271412205",,,,,,,,,,,,,"7,979768426"
21/02/2011,"16,04825043","37,74730633",,"2,15475992","17,53302749","14,7392133","3,725768342",,,,,,,,,,,,,"8,051674189"
11/03/2011,"13,94970064","40,45886961",,"1,761316355","15,01062147","14,89607958","5,747749854",,,,,,,,,,,,,"8,175662484"
07/04/2011,"10,59401387","41,71290581",,"2,876079073","16,78454048","15,20239107","5,093616553",,,,,,,,,,,,,"7,73645314"
12/05/2011,"20,21157522","34,88789096",,"1,600912786","17,74584287","15,29535883","4,304680866",,,,,,,,,,,,,"5,953738465"
15/06/2011,"15,12809504","39,25466482",,"1,408681854","18,893486","14,18721991","3,631935425",,,,,,,,,,,,,"7,495916947"
14/07/2011,"17,71092552","36,25225667",,"1,059838432","19,83857909","14,90777633","3,148607866",,,,,,,,,,,,,"7,082016092"
18/08/2011,"19,36188001","35,88375304",,"1,040505578","18,73196417","15,99753582","4,36824247",,,,,,,,,,,,,"4,616118905"
14/09/2011,"15,40085013","38,93242493",,"1,177895117","17,81995209","14,35262954","2,867728904",,,,,,,,,,,,,"9,448519286"
10/10/2011,"13,26902089","36,69969245",,"1,293084212","17,66449706","15,74215394","4,171084094",,,,,,,,,,,,,"11,16046736"
14/11/2011,"14,21548421","40,47328816",,"1,809137934","15,45514705","13,7542539","2,798020775",,,,,,,,,,,,,"11,49466798"
09/12/2011,"15,36131892","38,535943",,"0,176620067","17,4946132","12,55715381","3,645468539",,,,,,,,,,,,,"12,22888247"
17/01/2012,"15,01805928","35,97892817",,"1,723478398","18,65877158","16,4460228","1,795353071",,,,,,,,,,,,,"10,37938671"
14/02/2012,"15,10866012","34,0096759",,"1,385168626","16,9594576","12,17517949","3,134541505",,,,,,,,,,,,,"17,22731676"
18/03/2012,"13,15723101","37,3355976",,"0,613145533","18,28767485","11,29165939","1,987423169","4,283451552",,,"9,104838107",,,,,,,,,"3,938978793"
17/04/2012,"14,510157","38,99608833",,"0,2259629776","14,56163293","13,20848768","1,942030738","8,149654244",,,"4,522901801",,,,,,,,,"3,883084293"
15/05/2012,"12,82952803","38,54657692",,"0,3635970681","17,66893429","14,10235584","2,19117694","7,604580459",,,"3,134544237",,,,,,,,,"3,558706222"
19/06/2012,"17,45244583","36,40620215",,"0,4196969925","16,4252673","13,29009124","2,721821351","4,566390689",,,"4,403390527",,,,,,,,,"4,314693917"
16/07/2012,"17,03168176","38,49014442",,"0,4189848915","16,90753155","11,40980812","3,476436429","4,05886731",,,"2,504624156",,,,,,,,,"5,701921355"
06/09/2012,"13,3365563","40,6455635",,"0,1959643282","19,31954809","12,88469338","1,237706091","5,891136551",,,"1,65969241",,,,,,,,,"4,829139347"
20/09/2012,"16,95352401","34,93811126",,"0,8770440055","17,7264227","15,78143137","1,700489191","6,836544687",,,"1,040896685",,,,,,,,,"4,145536091"
12/10/2012,"11,22953974","35,28982222",,,"21,24286445","13,85672343",,"8,814290881","2,119534013","2,136929625","3,40764614",,,,,,,,,"1,902649495"
13/11/2012,"12,04911339","37,70509073",,,"18,59871676","11,27114472",,"10,79602226","2,423286559","3,064455215","2,31241545",,,,,,,,,"1,77975492"
11/12/2012,"13,58737599","37,37336762",,,"17,40248703","11,23312179",,"11,47022103","3,119093285","1,964589147","1,872160253",,,,,,,,,"1,977583852"
